ticker,data_date,sector,industry,open,high,low,close,volume,frequency,nbss,nbsf
HELI,2023-12-22,Transportation & Logistic,Airlines,334.00,352.00,334.00,352.00,2285200,1256,392891392,14669200
HERO,2023-12-22,Consumer Non-Cyclicals,Food & Staples Retailing,900.00,915.00,900.00,900.00,18700,59,8488000,-2776000
HEXA,2023-12-22,Industrials,Machinery,5400.00,5425.00,5400.00,5400.00,85100,153,-33072500,51905000
HILL,2023-12-22,Energy,"Oil, Gas & Coal Supports",2390.00,2400.00,2380.00,2390.00,583200,112,-635363008,-138752992
HITS,2023-12-22,Energy,Oil & Gas,390.00,398.00,372.00,378.00,19300,36,-2898600,0
HKMU,2023-12-22,Basic Materials,Metals & Minerals,50.00,50.00,50.00,50.00,0,0,0,0
HMSP,2023-12-22,Consumer Non-Cyclicals,Tobacco,880.00,895.00,875.00,885.00,14596500,1813,5114792960,-75110000
HOKI,2023-12-22,Consumer Non-Cyclicals,Processed Foods,176.00,182.00,175.00,179.00,17455300,1396,-679257792,-32081800
HOME,2023-12-22,Consumer Cyclicals,Tourism & Recreation,50.00,50.00,50.00,50.00,0,0,0,0
HOMI,2023-12-22,Properties & Real Estate,Real Estate Management & Development,222.00,222.00,204.00,218.00,77200,56,-7456400,0
HOPE,2023-12-22,Industrials,Machinery,56.00,61.00,53.00,56.00,7054700,588,15524300,0
HOTL,2023-12-22,Consumer Cyclicals,Tourism & Recreation,50.00,50.00,50.00,50.00,0,0,0,0
HRME,2023-12-22,Consumer Cyclicals,Tourism & Recreation,50.00,50.00,50.00,50.00,0,0,0,0
HRTA,2023-12-22,Consumer Cyclicals,Apparel & Luxury Goods,344.00,352.00,344.00,346.00,5480100,529,318445184,309838208
HRUM,2023-12-22,Energy,Coal,1310.00,1320.00,1295.00,1305.00,3652000,992,-780449024,-360568512
HUMI,2023-12-22,Energy,Oil & Gas,174.00,174.00,141.00,142.00,165820096,10181,-576819328,-11098182656
IATA,2023-12-22,Energy,Coal,50.00,50.00,50.00,50.00,1353100,32,67655000,0
IBFN,2023-12-22,Industrials,Machinery,18.00,18.00,18.00,18.00,0,0,0,0
IBOS,2023-12-22,Consumer Non-Cyclicals,Processed Foods,424.00,444.00,400.00,400.00,4334700,340,1580656256,0
IBST,2023-12-22,Infrastructures,Wireless Telecommunication Services,5600.00,5600.00,5600.00,5600.00,0,0,0,0
ICBP,2023-12-22,Consumer Non-Cyclicals,Processed Foods,10575.00,10625.00,10475.00,10525.00,1311300,1007,2050295040,-2684837376
ICON,2023-12-22,Industrials,Commercial Services,50.00,50.00,50.00,50.00,21500,4,1075000,0
IDEA,2023-12-22,Consumer Cyclicals,Education & Support Services,45.00,51.00,45.00,48.00,2557000,144,46121000,0
IDPR,2023-12-22,Infrastructures,Heavy Constructions & Civil Engineering,139.00,140.00,138.00,138.00,86900,11,-7520400,-1518000
IFII,2023-12-22,Basic Materials,Forestry & Paper,146.00,160.00,146.00,149.00,85900,88,7115200,-90400
IFSH,2023-12-22,Basic Materials,Metals & Minerals,870.00,870.00,870.00,870.00,500,3,-87000,0
IGAR,2023-12-22,Basic Materials,Containers & Packaging,440.00,442.00,438.00,442.00,12600,7,4229400,3916000
IIKP,2023-12-22,Consumer Cyclicals,Sport Equipment & Hobbies Goods,50.00,50.00,50.00,50.00,0,0,0,0
IKAI,2023-12-22,Industrials,Building Products & Fixtures,50.00,50.00,50.00,50.00,0,0,0,0
IKAN,2023-12-22,Consumer Non-Cyclicals,Agricultural Products,50.00,50.00,50.00,50.00,4500,7,225000,0
IKBI,2023-12-22,Industrials,Electrical,460.00,460.00,450.00,460.00,77200,22,14265800,3780000
IKPM,2023-12-22,Healthcare,Pharmaceuticals,202.00,212.00,200.00,208.00,13360400,954,-250556000,1632000
IMAS,2023-12-22,Consumer Cyclicals,Specialty Retail,1610.00,1820.00,1430.00,1450.00,52644400,19589,-14782445568,-2155834624
IMJS,2023-12-22,Transportation & Logistic,Passenger Land Transportation,350.00,374.00,304.00,304.00,156392704,17497,-2369422336,6333800
IMPC,2023-12-22,Industrials,Building Products & Fixtures,378.00,386.00,378.00,386.00,10888800,379,-2466439680,1150461184
INAF,2023-12-22,Healthcare,Pharmaceuticals,665.00,685.00,615.00,640.00,2798700,1136,292832512,23010000
INAI,2023-12-22,Basic Materials,Metals & Minerals,192.00,204.00,192.00,200.00,64000,8,439200,0
INCF,2023-12-22,Basic Materials,Forestry & Paper,50.00,50.00,50.00,50.00,30000,1,1500000,0
INCI,2023-12-22,Basic Materials,Chemicals,550.00,550.00,535.00,545.00,10200,16,-4170500,0
INCO,2023-12-22,Basic Materials,Metals & Minerals,4270.00,4330.00,4260.00,4270.00,6202800,2468,-2882196992,-4080822016
INDF,2023-12-22,Consumer Non-Cyclicals,Processed Foods,6300.00,6350.00,6275.00,6275.00,6712600,2012,-5946292736,-11577780224
INDO,2023-12-22,Properties & Real Estate,Real Estate Management & Development,90.00,98.00,90.00,91.00,9416200,201,425662784,-104651200
INDR,2023-12-22,Consumer Cyclicals,Apparel & Luxury Goods,3020.00,3060.00,3020.00,3030.00,7800,14,13278000,9966000
INDS,2023-12-22,Consumer Cyclicals,Auto Components,2520.00,2530.00,2450.00,2490.00,24400,41,-6428000,3357000
INDX,2023-12-22,Industrials,Professional Services,118.00,121.00,116.00,116.00,240800,94,-18279500,0
INDY,2023-12-22,Energy,Coal,1470.00,1470.00,1450.00,1450.00,4335400,1536,-2184686592,-1800146560
INET,2023-12-22,Infrastructures,Telecommunication Service,83.00,83.00,79.00,83.00,88264496,6627,5691060736,-85895400
INKP,2023-12-22,Basic Materials,Forestry & Paper,8325.00,8475.00,8300.00,8350.00,2888200,3994,4590687744,-2894595072
INOV,2023-12-22,Consumer Cyclicals,Apparel & Luxury Goods,177.00,178.00,170.00,178.00,447000,29,-63350100,72294000
INPC,2023-12-22,Financials,Banks,74.00,75.00,73.00,75.00,1314600,169,11337600,21513700
INPP,2023-12-22,Properties & Real Estate,Real Estate Management & Development,720.00,725.00,710.00,725.00,1759400,242,1257447040,426000
INPS,2023-12-22,Energy,Oil & Gas,166.00,169.00,163.00,166.00,99400,73,904900,164900
INRU,2023-12-22,Basic Materials,Forestry & Paper,1135.00,1235.00,960.00,1005.00,178200,304,33812000,-697500
